Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards
1990,111.0,Tie Me Up! Tie Me Down!,Comedy,"Banderas, Antonio","Abril, Victoria","Almodóvar, Pedro",68.0,No
1991,113.0,High Heels,Comedy,"Bosé, Miguel","Abril, Victoria","Almodóvar, Pedro",68.0,No
1983,104.0,The Dead Zone,Horror,"Walken, Christopher","Adams, Brooke","Cronenberg, David",79.0,No
1979,122.0,Cuba,Action,"Connery, Sean","Adams, Brooke","Lester, Richard",6.0,No
1978,94.0,Days of Heaven,Drama,"Gere, Richard","Adams, Brooke","Malick, Terrence",14.0,No
1983,140.0,Octopussy,Action,"Moore, Roger","Adams, Maud","Glen, John",68.0,No
1984,101.0,Target Eagle,Action,"Connors, Chuck","Adams, Maud","Loma, José Antonio de la",14.0,No
1989,99.0,The American Angels: Baptism of Blood,Drama,"Bergen, Robert D.","Adams, Trudy","Sebastian, Beverly",28.0,No
1985,104.0,Subway,Drama,"Lambert, Christopher","Adjani, Isabelle","Besson, Luc",6.0,No
1990,149.0,Camille Claudel,Drama,"Depardieu, Gérard","Adjani, Isabelle","Nuytten, Bruno",32.0,No
1982,188.0,Fanny and Alexander,Drama,"Ahlstedt, Börje","Adolphson, Kristina","Bergman, Ingmar",81.0,Yes
1982,117.0,Tragedy of a Ridiculous Man,Drama,"Tognazzi, Ugo","Aimee, Anouk","Bertolucci, Bernardo",17.0,No
1966,103.0,A Man & a Woman,Drama,"Trintignant, Jean-Louis","Aimee, Anouk","Lelouch, Claude",46.0,Yes
1986,112.0,A Man & a Woman: Twenty Years Later,Drama,"Trintignant, Jean-Louis","Aimee, Anouk","Lelouch, Claude",49.0,No
1966,103.0,Un Hombre y una Mujer,Drama,"Trintignant, Jean-Louis","Aimee, Anouk","Lelouch, Claude",6.0,Yes
1985,112.0,The Official Story,Drama,"Alterio, Hector","Aleandro, Norma","Puenzo, Luiz",39.0,Yes
1976,150.0,The Lindbergh Kidnapping Case,Drama,"Hopkins, Anthony","Alexander, Denise","Kulik, Buzz",51.0,No
1929,84.0,Blackmail,Mystery,"Longden, John","Algood, Sara","Hitchcock, Alfred",2.0,No
1963,109.0,Donovan's Reef,Comedy,"Wayne, John","Allen, Elizabeth","Ford, John",62.0,No
1988,110.0,Tucker: The Man & His Dream,Drama,"Bridges, Jeff","Allen, Joan","Coppola, Francis Ford",68.0,No
1988,101.0,Scrooged,Comedy,"Murray, Bill","Allen, Karen","Donner, Richard",15.0,No
1981,116.0,Raiders of the Lost Ark,Action,"Ford, Harrison","Allen, Karen","Spielberg, Steven",8.0,No
1987,101.0,The Running Man,Science Fiction,"Schwarzenegger, Arnold","Alonso, Maria Conchita","Glaser, Paul Michael",31.0,No
1991,105.0,Predator 2,Action,"Glover, Danny","Alonso, Maria Conchita","Hopkins, Stephen",79.0,No
1988,127.0,Colors,Drama,"Penn, Sean","Alonso, Maria Conchita","Hopper, Dennis",23.0,No
